,job_title,adv_job_title,description_languages,description_tools,description_databases,description_softskills,description_experience,description_qualification
396,data engineer data scientist contributor,data scientist,"['python', 'java', 'scala', 'r', 'c++', 'sql']","['spark', 'mode']",['elasticsearch'],"['flexibility', 'responsibility', 'mining', 'communication', 'management', 'data mining', 'problem solving', 'time management']",['5+ year'],[]
397,data analyst,data analyst,['sql'],"['bi', 'tableau', 'sisense', 'business intelligence']",[],"['analytics', 'collaboration', 'organization', 'management', 'customer', 'responsibility', 'organization', 'communication', 'decision making', 'data modeling']",['2+ year'],"['bachelor', 'bachelor degree']"
398,data scientist ii,data scientist,"['r', 'sql', 'python']","['apache', 'spark', 'tableau', 'apache spark']",[],"['analytics', 'analytics', 'communication', 'communication', 'customer', 'management', 'organization', 'computer science']","['8 year', '2+ year']","['bachelor', 'bachelor degree', 'master degree']"
399,machine learning engineer,data engineer,[],[],[],"['organization', 'networking', 'organization', 'organization', 'logical', 'organization', 'reliability', 'organization', 'problem solving']",['2 year'],[]
400,bidata analyst,data analyst,['sql'],"['tableau', 'looker', 'excel', 'business intelligence', 'business intelligence', 'microsoft excel']",[],"['kpi', 'responsibility', 'analytics', 'logical', 'mining', 'curiosity', 'communication', 'presentation', 'decision making', 'data modeling', 'decision making', 'data mining', 'multi tasking']",['5+ year'],[]
401,content data scientist medium product data science,data scientist,"['sql', 'python', 'r', 'ml', 'c']","['spark', 'tableau']",[],"['customer', 'analytics', 'customer', 'collaboration', 'analytics', 'presentation', 'experimentation', 'communication', 'presentation', 'management', 'presentation', 'organization', 'mathematics', 'economics', 'time management', 'computer science']",['3+ year'],['bachelor']
402,data analyst,data analyst,"['r', 'python', 'sql']",[],[],"['responsibility', 'accuracy', 'mathematics', 'communication', 'computer science', 'verbal communication']",[],['bachelor']
403,video business data scientist medium product data science,data scientist,"['sql', 'python', 'c']","['spark', 'tableau']",[],"['customer', 'analytics', 'customer', 'innovation', 'analytics', 'presentation', 'communication', 'presentation', 'management', 'presentation', 'organization', 'mathematics', 'economics', 'decision making', 'time management', 'computer science']",['4+ year'],"['bachelor', 'bachelor degree']"
404,data analyst,data analyst,"['sql', 'r', 'python']","['excel', 'looker', 'periscope', 'sisense', 'tableau', 'sisense', 'periscope', 'excel']",['aws'],"['organization', 'networking', 'analytics', 'organization', 'analytics', 'organization']",[],[]
405,market data analyst,data analyst,[],[],[],"['collaboration', 'negotiation', 'management', 'economics', 'negotiation', 'organization', 'management']",['3 year'],"['bachelor', 'bachelor degree']"
406,data engineer,data engineer,"['sql', 'python', 'java', 'c++', 'scala', 'c']",['spark'],"['redshift', 'amazon redshift']",['analytics'],['3+ year'],"['bachelor', 'bachelor degree']"
407,senior data analyst,data analyst,"['sql', 'python', 'r']","['spark', 'tableau']","['aws', 'aws']","['responsibility', 'curiosity', 'curiosity', 'customer', 'customer', 'organization', 'communication', 'organization', 'organization', 'responsibility', 'organization', 'decision making', 'decision making', 'written communication']","['3 year', '7 year']",[]
408,data scientist iii,data scientist,"['sql', 'python', 'r', 'scala']",['spark'],['redshift'],"['customer', 'scheduling', 'customer', 'customer', 'scheduling', 'customer', 'responsibility', 'communication', 'presentation', 'mathematics', 'leadership', 'data modeling', 'written communication', 'computer science']","['5+ year', '3+ year']","['phd', 'phd', 'master degree']"
409,data scientist consultant burbank california,data scientist,"['python', 'r', 'java', 'c']",['spark'],"['neo4j', 'azure', 'pig', 'aws', 'azure']","['analytics', 'analytics', 'analytics', 'innovation', 'analytics', 'analytics', 'responsibility', 'presentation', 'flexibility', 'economics', 'mathematics', 'communication', 'responsibility', 'innovation', 'organization', 'business acumen', 'computer science']",['2 year'],['phd']
410,data analyst,data analyst,"['sql', 'postgresql', 'python']",['business intelligence'],"['postgresql', 'dynamodb', 'neo4j', 'mongodb', 'elasticsearch']","['analytics', 'customer', 'organization', 'analytics', 'management', 'responsibility', 'critical thinking']",['1+ year'],['bachelor']
411,quantitative research associate,others,"['python', 'r']",['excel'],[],"['collaboration', 'analytics', 'responsibility', 'discipline', 'curiosity', 'communication', 'commitment', 'management', 'decision making', 'problem solving', 'oral communication']",[],['phd']
412,senior data scientist,data scientist,"['ml', 'sql', 'python', 'r', 'java', 'scala', 'c', 'c++', 'javascript']","['spark', 'apache', 'apache', 'spark', 'apache', 'tableau', 'business intelligence', 'google analytics', 'apache spark']","['redshift', 'hive']","['customer', 'leadership', 'mining', 'responsibility', 'accuracy', 'customer', 'customer', 'mining', 'communication', 'mathematics', 'mining', 'analytics', 'data mining', 'problem solving', 'data mining', 'verbal communication', 'computer science', 'data mining']",['5 year'],['phd']
413,machine learning engineer,data engineer,"['ml', 'ml', 'ml', 'ml', 'python', 'r', 'java', 'sql', 'ml', 'ml']",['spark'],"['aws', 'aws', 'aws', 'redshift']","['organization', 'responsibility', 'management', 'analytics', 'management', 'strategic thinking']","['5 year', '5 year', '5 year']",['phd']
414,data analyst,data analyst,"['sql', 'python']","['excel', 'tableau', 'qlikview']",[],"['analytics', 'economics', 'humor', 'positive outlook']",[],[]
415,data analyst product,data analyst,[],['panda'],[],"['responsibility', 'analytics']",['4 year'],[]
416,quantitative analyst,data analyst,"['c', 'c++', 'c', 'java', 'r', 'python']",[],[],"['responsibility', 'analytics', 'management', 'communication', 'management', 'management']","['2 year', '2 year', '2 year', '2 year']",[]
417,business intelligence analyst,data analyst,"['sql', 'shell', 'javascript', 'java']","['bi', 'tableau', 'bi', 'looker', 'mode', 'oracle', 'business intelligence']",['oracle'],"['responsibility', 'management']",['2+ year'],[]
418,research scientist,data scientist,[],[],[],"['organization', 'presentation', 'customer', 'customer', 'responsibility', 'responsibility', 'communication', 'organization', 'curiosity']",[],['phd']
419,data analyst,data analyst,"['sql', 'python', 'r']","['excel', 'bi', 'tableau', 'looker']",[],"['customer', 'customer', 'responsibility', 'analytics', 'kpi', 'accuracy', 'mathematics', 'analytics', 'computer science']",[],[]
420,business data analyst,data analyst,"['sql', 'sql', 'sql', 'sql']","['bi', 'bi']",[],"['communication', 'organization', 'management', 'time management']","['1 year', '1 year']",['bachelor']
421,data analyst,data analyst,[],['excel'],[],"['responsibility', 'communication', 'communication', 'management', 'written communication']",['3 year'],[]
422,data scientist ii,data scientist,"['c', 'ml', 'java', 'c++', 'python']",['spark'],['redshift'],"['scheduling', 'customer', 'customer', 'scheduling', 'customer', 'responsibility', 'communication', 'presentation', 'mathematics', 'leadership', 'data modeling', 'written communication', 'computer science']","['4+ year', '2+ year']","['phd', 'phd', 'master degree']"
423,m data scientist,data scientist,['sql'],['tableau'],[],"['collaboration', 'analytics', 'responsibility', 'accuracy', 'analytics', 'management', 'organization', 'computer science', 'critical thinking']",['2+ year'],"['bachelor', 'master degree']"
424,sr data analyst u safety,data analyst,"['r', 'python', 'sql']","['mode', 'chartio', 'tableau']",[],"['responsibility', 'responsibility', 'mining', 'analytics', 'analytics', 'creativity', 'data mining', 'data modeling', 'computer science', 'data modeling']",['4+ year'],[]
425,sr data scientist,data scientist,"['ml', 'ml', 'ml', 'python', 'java', 'c++']",['spark'],[],"['planning', 'computer science']",['3 year'],['phd']
426,data engineer,data engineer,['python'],"['oracle', 'tableau', 'qlik']","['oracle', 'redshift', 'aws', 'redshift']","['organization', 'business acumen', 'problem solving', 'computer science']",['4 year'],['4 year degree']
427,scientist,data scientist,[],['notebook'],[],[],['5 year'],"['phd', 'bachelor']"
428,data scientist,data scientist,"['r', 'python', 'sql', 'r', 'python', 'javascript']",[],['aws'],"['motivation', 'customer', 'organization', 'analytics', 'innovation', 'analytics', 'analytics', 'innovation', 'analytics', 'innovation', 'analytics', 'management', 'analytics', 'collaboration', 'negotiation', 'problem solving', 'time management']",[],"['bachelor', 'phd']"
429,senior data scientist,data scientist,"['python', 'scala', 'c++', 'python', 'scala', 'java', 'c++']",['spark'],"['aws', 'azure']","['innovation', 'responsibility', 'innovation', 'responsibility', 'mining', 'mining', 'communication', 'presentation', 'data mining', 'computer science', 'data mining', 'written communication']",['5 year'],[]
430,manager data science core analytics,data science analyst,[],['business intelligence'],[],"['customer', 'analytics', 'analytics', 'analytics', 'leadership', 'accuracy', 'analytics', 'analytics', 'networking', 'analytics']","['4+ year', '5 year']",[]
431,sr data scientist,data scientist,"['ml', 'ml', 'ml', 'ml', 'ml', 'python', 'sql', 'postgresql', 'mysql', 'sql', 'java', 'javascript', 'scala', 'ml']","['sap', 'spark', 'business intelligence']","['postgresql', 'mysql', 'redshift', 'redshift', 'aws', 'aws', 'azure']",[],"['5+ year', '5+ year']",['phd']
432,machine learning engineer,data engineer,[],[],[],"['curiosity', 'management', 'computer science']",['2+ year'],[]
433,associate research scientist,data scientist,[],[],[],"['discipline', 'management', 'communication', 'communication', 'responsibility', 'project management', 'oral communication', 'oral communication']",[],[]
434,business data analyst,data analyst,"['sql', 'python', 'r']","['bi', 'tableau', 'looker', 'spark']","['aws', 'azure']","['management', 'communication', 'management', 'responsibility', 'kpis', 'mathematics', 'analytics', 'communication', 'commitment', 'decision making', 'computer science', 'written communication']","['4 year', '2 year']",[]
435,survey data analyst,data analyst,"['r', 'sql']","['excel', 'excel', 'tableau']",[],"['innovation', 'responsibility', 'customer', 'analytics', 'creativity']",['5+ year'],[]
436,data analyst,data analyst,['sql'],"['tableau', 'mode', 'business intelligence']",[],"['kpis', 'leadership', 'kpi', 'management', 'team building', 'computer science']","['2+ year', '2+ year']",['bachelor']
437,data analyst,data analyst,"['sql', 'python', 'r']",[],[],"['creativity', 'collaboration', 'creativity', 'commitment', 'analytics', 'management', 'kpis', 'organization', 'analytics', 'analytics', 'analytics', 'organization', 'communication', 'presentation', 'humor', 'decision making', 'computer science']",['2+ year'],[]
438,data engineer,data engineer,"['sql', 'postgresql', 'python', 'python']",[],"['redshift', 'postgresql', 'redshift']",[],"['1+ year', '5+ year']",[]
439,data engineer,data engineer,"['python', 'sql', 'java', 'python']","['apache', 'apache']","['redshift', 'aws', 'amazon redshift']","['commitment', 'organization', 'responsibility', 'customer', 'reliability', 'tolerance', 'customer', 'communication', 'analytics', 'problem solving']",['2+ year'],[]
440,search data scientist medium product culver city ca,data scientist,"['sql', 'python', 'r', 'c']","['spark', 'tableau']",[],"['customer', 'analytics', 'collaboration', 'analytics', 'presentation', 'experimentation', 'mining', 'communication', 'presentation', 'management', 'presentation', 'organization', 'mathematics', 'economics', 'time management', 'computer science']",['3+ year'],"['bachelor', 'phd', 'bachelor degree']"
441,nlp engineer data scientist,data scientist,"['python', 'r', 'sql']",['spark'],['aws'],"['management', 'responsibility', 'management', 'accuracy', 'management', 'computer science', 'project management']","['4+ year', '2+ year']","['bachelor', 'phd']"
442,data scientist,data scientist,"['r', 'sql', 'python', 'scala', 'java', 'c++']","['tableau', 'bi', 'business intelligence', 'power bi']",[],"['responsibility', 'mining', 'communication', 'mining', 'management', 'communication', 'presentation', 'data mining', 'data mining', 'business acumen', 'problem solving', 'computer science', 'computer science']",['3 year'],[]
443,data science resident galvanize data science immersive grad only,data scientist,[],[],[],"['responsibility', 'responsibility', 'mentorship', 'responsibility']",[],[]
444,data science specialist,data scientist,"['c++', 'java', 'python', 'r', 'julia', 'ml', 'c++', 'java', 'python', 'r', 'julia', 'ml', 'sql', 'xml']",['spark'],[],"['responsibility', 'analytics', 'customer', 'discipline', 'customer', 'analytics', 'organization', 'analytics', 'analytics', 'mathematics', 'mathematics', 'mathematics', 'analytics', 'mining', 'communication', 'organization', 'responsibility', 'commitment', 'customer', 'team work', 'computer science', 'electrical engineering', 'computer science', 'electrical engineering', 'computer science', 'electrical engineering', 'data mining', 'problem solving']",[],['phd']
445,scientist innovation,data scientist,[],[],[],"['organization', 'responsibility', 'innovation', 'communication', 'communication', 'business acumen', 'written communication', 'multi tasking']",['5 year'],['phd']
446,manager data science core analytics,data science analyst,[],['business intelligence'],[],"['customer', 'analytics', 'analytics', 'analytics', 'leadership', 'accuracy', 'analytics', 'analytics', 'networking', 'analytics']","['4+ year', '5 year']",[]
447,data analyst,data analyst,"['sql', 'sql', 'sql', 'sql', 'sql']",['excel'],"['sql server', 'microsoft sql server']","['mining', 'responsibility', 'management', 'planning', 'planning', 'customer', 'responsibility', 'communication', 'customer', 'management', 'problem solving']",[],[]
448,head data science,data scientist,"['sql', 'python', 'r']",['spark'],['hive'],"['responsibility', 'creativity', 'responsibility', 'analytics', 'leadership', 'accuracy', 'accuracy', 'kpi', 'analytics', 'analytics', 'collaboration', 'analytics', 'decision making', 'computer science', 'computer science']",['5+ year'],['phd']
449,senior data engineerdata scientist,data scientist,"['scala', 'java', 'python']","['spark', 'spark', 'apache', 'spark', 'apache', 'spark', 'apache spark']","['cassandra', 'elasticsearch', 'aws']","['responsibility', 'communication', 'computer science', 'data modeling']",['5 year'],['bachelor']
450,research scientist,data scientist,['c'],[],[],"['communication', 'leadership', 'communication', 'leadership', 'leadership', 'leadership', 'oral communication']","['1 year', '5 year']",['phd']
451,associate scientist,data scientist,[],[],[],"['organization', 'presentation', 'responsibility', 'innovation', 'discipline', 'discipline', 'communication', 'responsibility', 'customer', 'flexibility', 'problem solving', 'written communication']",['6+ year'],"['bachelor', 'bachelor degree']"
452,data scientist ibm visa sponsorship canada,data scientist,"['python', 'sql', 'mysql', 'r', 'python', 'python', 'java']","['ibm', 'ibm', 'ibm', 'ibm', 'spark', 'oracle', 'panda', 'numpy', 'ibm']","['mongodb', 'redis', 'oracle', 'mysql', 'aws', 'azure', 'aws']","['innovation', 'organization', 'innovation', 'analytics', 'analytics', 'leadership', 'management', 'customer', 'analytics', 'analytics', 'communication', 'commitment', 'collaboration', 'mathematics', 'customer service', 'data modeling', 'written communication', 'computer science']","['3+ year', '2+ year', '2+ year', '2+ year', '4+ year', '3+ year']",['bachelor']
453,principal data scientist health economics realworld evidence evidence access usma position based ssf may consider remote,data scientist,"['sql', 'r']",[],[],"['economics', 'economics', 'responsibility', 'planning', 'accuracy', 'collaboration', 'collaboration', 'planning', 'management', 'economics', 'discipline', 'communication', 'customer']","['four year', 'six year']","['master degree', 'master degree']"
454,data analyst,data analyst,"['sql', 'sql', 'xml', 'javascript']","['tableau', 'spotfire', 'tableau', 'bi', 'spotfire', 'excel', 'power bi']","['impala', 'aws', 'sql server']","['organization', 'responsibility', 'analytics', 'analytics', 'leadership', 'scheduling', 'accuracy', 'mathematics', 'analytics', 'mining', 'computer science', 'data mining']",['2+ year'],[]
455,environmental scientist geologist environmental engineer entry year experience,data scientist,[],[],[],"['responsibility', 'responsibility', 'communication', 'management', 'mathematics', 'communication', 'organization']","['2 year', '2 year']","['bachelor', 'bachelor degree']"
456,business analytics manager enterprise marketing,data analyst,['sql'],"['tableau', 'looker']",[],"['analytics', 'analytics', 'analytics', 'leadership', 'questioning', 'analytics', 'communication', 'planning', 'customer', 'collaboration', 'welcoming', 'team work']",['4+ year'],[]
457,business analytics manager partnership startup program,data analyst,['sql'],"['tableau', 'looker']",[],"['analytics', 'analytics', 'analytics', 'leadership', 'questioning', 'analytics', 'communication', 'planning', 'customer', 'collaboration', 'welcoming', 'team work']",['4+ year'],[]
458,research scientistsenior scientist,data scientist,[],[],[],"['responsibility', 'reliability', 'presentation', 'customer', 'management', 'customer', 'customer', 'discipline', 'discipline', 'discipline', 'management', 'discipline', 'communication', 'organization', 'responsibility', 'commitment', 'customer', 'electrical engineering', 'electrical engineering']",[],"['bachelor', 'bachelor', 'bachelor degree', 'bachelor degree']"
459,principal data scientist,data scientist,"['sql', 'r', 'python', 'ml']",[],[],"['analytics', 'analytics', 'innovation', 'analytics', 'responsibility', 'analytics', 'analytics', 'planning', 'leadership', 'mentorship', 'analytics', 'experimentation', 'analytics', 'responsibility', 'decision making', 'computer science']",[],[]
460,data engineer,data engineer,"['c', 'python', 'javascript', 'r', 'python']",['google analytics'],"['mongo', 'aws']","['leadership', 'mining', 'responsibility', 'organization', 'accuracy', 'customer', 'accuracy', 'kpi', 'mathematics', 'analytics', 'communication', 'customer', 'commitment', 'data mining', 'computer science', 'verbal communication', 'computer science']",['7 year'],['bachelor']
461,data scientist,data scientist,"['r', 'python', 'sql']",[],['aws'],"['customer', 'analytics', 'customer', 'customer', 'organization', 'customer', 'leadership', 'mathematics', 'economics', 'analytics', 'discipline', 'organization', 'computer science']","['2 year', '1+ year']","['phd', 'master degree']"
462,research scientist usc schaeffer center,data scientist,['stata'],[],[],"['economics', 'communication', 'communication', 'economics', 'creativity', 'communication', 'commitment', 'leadership', 'leadership', 'leadership', 'economics', 'leadership', 'leadership', 'leadership', 'oral communication']","['2 year', '2 year', '5 year']","['phd', 'phd']"
463,principal data scientist public sector,data scientist,[],"['ibm', 'ibm', 'ibm', 'ibm', 'ibm']",[],"['discipline', 'organization', 'communication', 'leadership', 'innovation', 'collaboration', 'leadership']","['5+ year', '2+ year', '2+ year']",['phd']
464,business intelligence analyst entry,data analyst,['sql'],['business intelligence'],[],"['management', 'responsibility', 'management', 'discipline', 'organization', 'communication', 'collaboration', 'computer science', 'problem solving']",['2 year'],"['bachelor', 'bachelor degree']"
465,sr robotics scientist,data scientist,"['c', 'c++', 'c', 'c++']",[],[],"['discipline', 'computer science']",[],['phd']
466,physical scientist,data scientist,[],[],[],"['organization', 'organization', 'responsibility', 'mathematics', 'responsibility', 'management', 'responsibility', 'planning', 'coordination', 'responsibility', 'management', 'planning', 'planning', 'economics', 'responsibility', 'responsibility', 'planning', 'organization']","['one year', 'one year', '3 year', 'one year', 'one year', 'one year', 'one year']","['phd', 'phd']"
467,data analyst,data analyst,['c'],"['sap', 'sap', 'sap']",[],"['management', 'management', 'management', 'communication', 'presentation', 'communication', 'written communication']",[],[]
468,sr data analyst,data analyst,"['sql', 'python', 'python', 'sql', 'python']","['tableau', 'tableau', 'tableau', 'google analytics']",[],"['curiosity', 'analytics', 'kpi', 'analytics', 'analytics', 'analytics', 'responsibility', 'economics']",['4 year'],['bachelor']
469,digital analytics manager,data analyst,['sql'],"['tableau', 'excel', 'google analytics', 'google analytics', 'data studio', 'google analytics', 'google data studio']",[],"['commitment', 'organization', 'responsibility', 'analytics', 'analytics', 'analytics', 'analytics', 'prioritizing', 'analytics', 'analytics', 'customer', 'analytics', 'customer', 'customer', 'discipline', 'mathematics', 'economics', 'discipline', 'analytics', 'analytics', 'analytics', 'analytics', 'analytics', 'analytics', 'problem solving']",['7 year'],"['bachelor', 'bachelor degree', 'master degree']"
470,lead data scientist,data scientist,"['r', 'python']",['tableau'],[],"['analytics', 'creativity', 'customer']",[],[]
472,data engineer,data engineer,"['sql', 'python', 'javascript', 'sql']",['tableau'],['aws'],"['analytics', 'organization', 'analytics', 'analytics', 'customer', 'management', 'analytics', 'analytics', 'organization', 'data modeling', 'computer science', 'positive attitude']",['1+ year'],"['bachelor', 'bachelor degree']"
473,junior data analyst,data analyst,"['sql', 'xml', 'javascript']",['excel'],[],"['analytics', 'management', 'mining', 'accuracy', 'management', 'management', 'data mining', 'computer science', 'project management']",[],[]
474,data engineer,data engineer,[],"['apache', 'data studio']",['hbase'],"['customer', 'accuracy', 'customer']",[],[]
475,quantum principal data scientist industrialdiscrete sector,data scientist,"['python', 'ml', 'ml']","['ibm', 'ibm', 'ibm', 'ibm', 'ibm', 'jupyter', 'ibm', 'ibm', 'ibm']",[],"['discipline', 'organization', 'commitment', 'leadership', 'communication', 'leadership', 'innovation', 'collaboration', 'leadership']","['5+ year', '2+ year']",['phd']
476,data engineer,data engineer,"['python', 'scala', 'java', 'python', 'java', 'scala']","['apache', 'apache', 'spark', 'apache spark']","['elasticsearch', 'redshift', 'aws', 'aws']","['management', 'communication', 'computer science', 'written communication']",[],"['bachelor', 'master degree']"
477,scientist product development,data scientist,[],[],[],"['innovation', 'responsibility', 'innovation', 'experimentation', 'management', 'problem solving']","['4 year', '7 year']","['bachelor', 'bachelor degree', 'master degree']"
478,senior data analyst,data analyst,"['sql', 'r', 'stata', 'c', 'sql', 'r', 'stata', 'c', 'sql', 'stata', 'r']","['bi', 'bi', 'bi', 'excel', 'bi', 'excel', 'excel', 'bi', 'business intelligence', 'power bi', 'power bi', 'power bi']",[],"['management', 'leadership', 'mathematics', 'economics', 'analytics', 'management', 'analytics', 'management', 'planning', 'management', 'communication', 'organization', 'customer', 'confidence', 'optimism', 'reliability', 'logical', 'management', 'analytics', 'management', 'analytics', 'responsibility', 'decision making', 'decision making', 'project management', 'problem solving', 'written communication', 'customer service', 'deductive reasoning']","['four year', 'two year', 'one year', 'four year']","['bachelor', 'master degree', 'bachelor degree', 'master degree']"
479,data engineer,data engineer,['python'],[],[],"['organization', 'reliability', 'confidence', 'organization', 'commitment', 'responsibility', 'organization', 'communication', 'written communication']",['5 year'],"['bachelor', 'bachelor degree']"
480,data analyst,data analyst,['sql'],"['tableau', 'oracle', 'business intelligence', 'google analytics']","['aws', 'oracle']","['responsibility', 'organization', 'analytics', 'analytics', 'communication', 'critical thinking']",['5 year'],[]
481,exploratory data analysis instructor,data analyst,['r'],['tableau'],[],"['discipline', 'analytics', 'management', 'communication', 'commitment', 'computer science', 'written communication']",['five year'],[]
482,data analyst predictive analytics,data analyst,['sql'],"['excel', 'excel', 'tableau']",[],"['analytics', 'kpis', 'presentation', 'leadership', 'analytics', 'mining', 'communication', 'organization', 'flexibility', 'problem solving', 'oral communication']",['4+ year'],[]
483,data engineer,data engineer,"['python', 'sql', 'java', 'scala']",['spark'],['aws'],"['confidence', 'computer science']","['5+ year', '5+ year', '5+ year']",['bachelor']
484,senior data analyst,data analyst,"['python', 'scala', 'sql']",['bi'],[],"['kpis', 'leadership', 'kpi', 'communication']",['3+ year'],"['bachelor', 'bachelor degree']"
485,artificial intelligencemachine learning engineer,data engineer,"['ml', 'ml', 'ml', 'ml', 'ml', 'java', 'python', 'c', 'c++', 'ml', 'ml', 'ml', 'python', 'c++', 'r', 'python', 'sql', 'xml']","['spark', 'excel']",[],"['responsibility', 'presentation', 'mathematics', 'leadership', 'responsibility', 'management', 'mining', 'mining', 'creativity', 'communication', 'commitment', 'customer', 'computer science', 'data mining', 'data mining']",[],"['bachelor', 'bachelor degree']"
486,clinical laboratory scientist i,data scientist,['ada'],[],[],['accuracy'],[],[]
487,data scientist,data scientist,"['python', 'r', 'ml']","['spark', 'spark']",['aws'],"['responsibility', 'analytics', 'problem solving', 'computer science']",['4+ year'],['phd']
488,sr business intelligence analyst,data analyst,"['sql', 'r', 'python']","['business intelligence', 'business intelligence', 'business intelligence', 'business intelligence', 'business intelligence']",[],"['commitment', 'management', 'analytics', 'prioritizing', 'organization', 'organization', 'mining', 'analytics', 'analytics', 'analytics', 'analytics', 'storytelling', 'communication', 'customer', 'decision making', 'decision making', 'decision making', 'decision making', 'data mining', 'decision making', 'data modeling']","['5+ year', '5+ year', '2+ year']",[]
489,data analyst,data analyst,[],[],[],[],[],[]
490,data analyst,data analyst,"['sql', 'sql', 'xml', 'javascript']","['tableau', 'spotfire', 'tableau', 'bi', 'spotfire', 'excel', 'power bi']","['impala', 'aws', 'sql server']","['organization', 'responsibility', 'analytics', 'analytics', 'leadership', 'scheduling', 'accuracy', 'mathematics', 'analytics', 'mining', 'computer science', 'data mining']",['2+ year'],[]
491,pricing data analyst,data analyst,['sql'],['tableau'],[],"['management', 'management', 'economics', 'management', 'communication', 'collaboration', 'responsibility', 'data modeling', 'written communication']","['5+ year', '3+ year']","['bachelor', 'bachelor degree']"
492,business analytics manager,data analyst,['sql'],"['tableau', 'looker']",[],"['analytics', 'analytics', 'leadership', 'analytics', 'questioning', 'analytics', 'communication', 'collaboration', 'planning', 'customer', 'team work']",['4+ year'],[]
493,senior data scientist,data scientist,"['python', 'sql']","['numpy', 'spark']",['aws'],"['customer', 'curiosity', 'computer science', 'computer science']",['4+ year'],['phd']
494,marketing data analyst teleflora,data analyst,"['sql', 'python', 'r', 'r', 'python', 'sql', 'html', 'javascript', 'php']","['tableau', 'looker', 'bi', 'bi', 'bi', 'tableau', 'power bi', 'google analytics']",[],"['analytics', 'responsibility', 'customer', 'analytics', 'analytics', 'mathematics', 'analytics', 'presentation', 'data modeling', 'data modeling']",['5+ year'],[]
495,associate scientist,data scientist,[],[],[],"['organization', 'presentation', 'responsibility', 'responsibility', 'innovation', 'discipline', 'discipline', 'communication', 'responsibility', 'problem solving', 'written communication']",['6+ year'],"['bachelor', 'bachelor degree']"
496,data analyst,data analyst,"['sql', 'sql', 'sql', 'mysql', 'sql', 'java', 'c++', 'javascript', 'jquery', 'html', 'python', 'r', 'scala']","['bi', 'spark', 'tableau', 'power bi']","['mysql', 'azure']","['communication', 'customer', 'analytics', 'computer science', 'written communication']",['2+ year'],[]
497,data analyst,data analyst,['sql'],"['tableau', 'thoughtspot', 'oracle', 'business intelligence']",['oracle'],"['analytics', 'analytics', 'analytics', 'organization', 'analytics', 'logical', 'analytics', 'communication', 'computer science']","['5 year', 'two year']","['bachelor', 'bachelor degree']"
498,data scientist architect hf,data science analyst,"['python', 'java']","['spark', 'github']","['mongodb', 'neo4j']",[],[],[]
499,data scientist machine learning,data scientist,"['python', 'r', 'sql', 'r', 'python', 'sql']",['tableau'],[],"['analytics', 'analytics', 'leadership', 'scheduling', 'economics', 'analytics', 'planning']",['3 year'],"['bachelor', 'bachelor degree', 'master degree']"
500,associate scientist,data scientist,"['ada', 'ada']",[],[],['communication'],[],['bachelor']
501,data engineer,data engineer,"['sql', 'python']","['tableau', 'business intelligence']","['aws', 'azure']","['customer', 'analytics', 'analytics', 'analytics', 'communication', 'analytics']",[],[]
502,epidemiologist data analysturology,others,[],[],[],"['responsibility', 'responsibility', 'scheduling', 'communication', 'coordination', 'collaboration', 'communication', 'management', 'planning', 'responsibility', 'management', 'logical', 'communication', 'planning', 'time management', 'written communication']",[],['bachelor']
503,marketing data analyst,data analyst,['sql'],"['bi', 'excel', 'bi', 'tableau', 'sisense', 'qlik']",[],"['leadership', 'analytics', 'customer', 'responsibility', 'planning', 'analytics', 'customer', 'planning', 'planning', 'kpi', 'analytics', 'kpis', 'customer', 'team work']",[],[]
504,sr data scientist,data scientist,"['r', 'python', 'sql']",[],['aws'],"['customer', 'analytics', 'customer', 'customer', 'organization', 'customer', 'leadership', 'mathematics', 'economics', 'analytics', 'computer science']","['5 year', '2+ year']","['phd', 'master degree']"
505,microsoft analytics consultant,data analyst,"['sql', 'sql', 'python', 'scala', 'sql']","['ibm', 'ibm', 'ibm', 'jupyter', 'notebook', 'sap', 'spark', 'ibm', 'ibm', 'ibm', 'ibm', 'ibm', 'ibm', 'ibm', 'ibm', 'ibm', 'ibm', 'ibm', 'business intelligence', 'jupyter notebook']","['azure', 'azure', 'azure', 'azure', 'azure', 'azure', 'azure', 'azure', 'azure', 'azure', 'azure', 'sql server']","['responsibility', 'analytics', 'customer', 'mining', 'creativity', 'innovation', 'collaboration', 'planning', 'innovation', 'responsibility', 'responsibility', 'responsibility', 'data mining', 'data modeling']","['2 year', '2 year', '2 year', '3 year', '2 year', '2 year', '3 year', '3 year', '5 year', '3 year', '2 year']",[]
506,data engineer,data engineer,"['ml', 'ml', 'c', 'ml', 'python', 'sql', 'ml', 'ml', 'ml', 'python', 'python']","['apache', 'spark', 'spark', 'apache']","['aws', 'aws', 'aws']","['customer', 'management', 'analytics', 'organization', 'management']",['4+ year'],['phd']
507,senior data analyst user growth,data analyst,[],['google analytics'],['hive'],"['responsibility', 'creativity', 'management', 'management', 'analytics', 'analytics', 'analytics', 'communication', 'computer science', 'problem solving', 'business acumen', 'written communication']","['3+ year', '3+ year']","['bachelor', 'master degree']"
508,data scientist applied machine learning,data scientist,"['xml', 'python']","['github', 'excel']",['aws'],"['analytics', 'responsibility', 'management', 'management', 'responsibility', 'responsibility', 'mining', 'customer', 'customer', 'innovation', 'customer', 'decision making', 'computer science', 'data mining', 'customer service']",['5 year'],['bachelor']
